Symbol,Name,Sector,Industry,Unlevered Data,Industry Cost of Capital,Industry Growth,Industry Reinvestment rate
HES,Hess Corporation,Oil/Gas (Integrated),Integrated Oil & Gas,0.644045014,0.066148338,0.0176,0.147097299
HIG,Hartford (The),Insurance (Prop/Cas.),Property & Casualty Insurance,0.675207617,0.067158648,0.061676591,0.190179062
HII,Huntington Ingalls Industries,Aerospace/Defense,Aerospace & Defense,0.930853541,0.07813356,0.075882564,0.401672464
HLT,Hilton Worldwide,Hotel/Gaming,"Hotels, Resorts & Cruise Lines",1.048189773,0.080151501,0.1024465,0.160164781
HOLX,Hologic,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
HON,Honeywell,Diversified,Industrial Conglomerates,1.092348615,0.085144265,0.069406364,0.370895834
HPE,Hewlett Packard Enterprise,Computers/Peripherals,"Technology Hardware, Storage & Peripherals",1.100354381,0.087884328,0.023118148,0.389433657
HPQ,HP Inc.,Computers/Peripherals,"Technology Hardware, Storage & Peripherals",1.100354381,0.087884328,0.023118148,0.389433657
HRL,Hormel Foods,Food Processing,Packaged Foods & Meats,0.495879272,0.059473284,0.072433478,0.592094421
HSIC,Henry Schein,Healthcare Support Services,Health Care Distributors,0.940306249,0.076102789,0.124218772,0.574513905
HST,Host Hotels & Resorts,Hotel/Gaming,Hotel & Resort REITs,1.048189773,0.080151501,0.1024465,0.160164781
HSY,Hershey Company (The),Food Processing,Packaged Foods & Meats,0.495879272,0.059473284,0.072433478,0.592094421
HUBB,Hubbell Incorporated,Machinery,Industrial Machinery & Supplies & Components,0.937609554,0.079092309,0.047126,0.915912511
HUM,Humana,Hospitals/Healthcare Facilities,Managed Health Care,0.559996107,0.061017936,0.181068947,0.407749816
HWM,Howmet Aerospace,Aerospace/Defense,Aerospace & Defense,0.930853541,0.07813356,0.075882564,0.401672464
IBM,IBM,Computer Services,IT Consulting & Other Services,0.858697507,0.074175635,0.109264737,0.276635201
ICE,Intercontinental Exchange,Financial Svcs. (Non-bank & Insurance),Financial Exchanges & Data,0.321978751,0.049871016,0.205013107,-0.773954395
IDXX,Idexx Laboratories,Heathcare Information and Technology,Health Care Equipment,1.187533948,0.089506087,0.196667069,0.715904778
IEX,IDEX Corporation,Machinery,Industrial Machinery & Supplies & Components,0.937609554,0.079092309,0.047126,0.915912511
IFF,International Flavors & Fragrances,Chemical (Specialty),Specialty Chemicals,0.938135743,0.078101735,0.07331875,0.788618721
INCY,Incyte,Drugs (Biotechnology),Biotechnology,1.08909647,0.083386527,0.189508512,0.442198086
INTC,Intel,Semiconductor,Semiconductors,1.460244594,0.103622461,0.064411628,0.934351556
INTU,Intuit,Software (System & Application),Application Software,1.272458994,0.094923923,0.159033378,0.476301017
INVH,Invitation Homes,R.E.I.T.,Single-Family Residential REITs,0.660063542,0.06308888,0.083597195,-0.15371841
IP,International Paper,Paper/Forest Products,Paper & Plastic Packaging Products & Materials,1.590292567,0.103524732,0.038425,1.52704016
IPG,Interpublic Group of Companies (The),Advertising,Advertising,1.180610439,0.086331585,0.115684,0.25114078
IQV,IQVIA,Heathcare Information and Technology,Life Sciences Tools & Services,1.187533948,0.089506087,0.196667069,0.715904778
